city,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
vallejo,"117,912",878,14,44,380,440,"5,844","2,688","1,681","1,475",65
ventura,"108,511",310,1,24,140,145,"3,885",778,"2,825",282,15
vernon,114,27,1,1,16,9,311,26,199,86,0
victorville,"118,687",676,6,40,222,408,"4,465","1,837","1,981",647,25
villa park,"5,956",2,0,0,0,2,87,22,62,3,0
visalia,"127,604",544,5,44,134,361,"5,531","1,227","3,778",526,10
vista,"96,087",465,1,25,144,295,"1,885",438,"1,118",329,5
walnut,"29,658",37,0,2,10,25,382,141,209,32,6
walnut creek,"65,816",84,0,3,19,62,"2,050",446,"1,463",141,5
waterford,"8,604",31,0,3,4,24,205,59,101,45,1
watsonville,"52,064",252,2,15,87,148,"1,585",265,"1,024",296,9
weed,"2,970",18,1,1,5,11,125,38,68,19,0
west covina,"107,861",281,2,11,108,160,"3,224",546,"2,135",543,2
west hollywood,"34,971",338,0,12,134,192,"1,642",331,"1,194",117,9
westlake village,"8,406",3,0,1,1,1,154,36,106,12,0
westminster,"91,908",284,2,9,88,185,"2,875",466,"2,086",323,7
westmorland,"2,282",2,0,0,1,1,9,7,1,1,0
west sacramento,"49,500",190,0,26,73,91,"1,458",379,913,166,23
wheatland,"3,509",2,0,1,0,1,36,6,25,5,2
whittier,"86,740",247,0,10,81,156,"2,502",449,"1,758",295,10
wildomar,"33,227",53,1,2,14,36,707,208,392,107,0
williams,"5,200",9,0,1,5,3,76,22,39,15,1
willits,"4,917",32,0,0,5,27,71,19,42,10,2
willows,"6,223",26,0,1,4,21,234,68,149,17,0
windsor,"27,293",67,0,6,2,59,318,59,248,11,1
winters,"6,726",6,0,0,0,6,84,27,49,8,0
woodlake,"7,466",48,1,2,4,41,211,60,127,24,4
woodland,"56,323",177,0,10,47,120,"1,735",361,"1,172",202,54
yorba linda,"65,820",53,0,3,11,39,787,223,532,32,3
yountville,"2,984",7,0,0,1,6,56,16,38,2,1
yreka,"7,768",42,1,7,6,28,293,65,220,8,2
yuba city,"65,653",247,4,22,43,178,"1,982",501,"1,297",184,14
yucaipa,"52,622",119,0,5,35,79,944,271,559,114,11
yucca valley,"21,204",90,0,5,19,66,560,190,304,66,6
